Gender,Event,Location,Year,Medal,Name,Nationality,Result
W,10000M Women,Rio,2016,G,Almaz AYANA,ETH,29:17.4
W,10000M Women,Rio,2016,S,Vivian Jepkemoi CHERUIYOT,KEN,29:32.5
W,10000M Women,Rio,2016,B,Tirunesh DIBABA,ETH,29:42.6
W,10000M Women,Beijing,2008,G,Tirunesh DIBABA,ETH,29:54.7
W,10000M Women,Beijing,2008,S,Elvan ABEYLEGESSE,TUR,29:56.3
W,10000M Women,Beijing,2008,B,Shalane FLANAGAN,USA,30:22.2
W,10000M Women,Sydney,2000,G,Derartu TULU,ETH,30:17.5
W,10000M Women,Sydney,2000,S,Gete WAMI,ETH,30:22.5
W,10000M Women,Sydney,2000,B,Fernanda RIBEIRO,POR,30:22.9
W,10000M Women,Barcelona,1992,G,Derartu TULU,ETH,31:06.0
W,10000M Women,Barcelona,1992,S,Elana MEYER,RSA,31:11.7
W,10000M Women,Barcelona,1992,B,Lynn JENNINGS,USA,31:19.9
W,10000M Women,London,2012,G,Tirunesh DIBABA,ETH,30:20.8
W,10000M Women,London,2012,S,Sally Jepkosgei KIPYEGO,KEN,30:26.4
W,10000M Women,London,2012,B,Vivian Jepkemoi CHERUIYOT,KEN,30:30.4
W,10000M Women,Athens,2004,G,Huina XING,CHN,30:24.4
W,10000M Women,Athens,2004,S,Ejegayehu DIBABA,ETH,30:25.0
W,10000M Women,Athens,2004,B,Derartu TULU,ETH,30:26.4
W,10000M Women,Atlanta,1996,G,Fernanda RIBEIRO,POR,31:01.6
W,10000M Women,Atlanta,1996,S,Junxia WANG,CHN,31:02.6
W,10000M Women,Atlanta,1996,B,Gete WAMI,ETH,31:06.7
W,100M Hurdles Women,Rio,2016,G,Brianna ROLLINS,USA,12.48
W,100M Hurdles Women,Rio,2016,S,Nia ALI,USA,12.59
W,100M Hurdles Women,Rio,2016,B,Kristi CASTLIN,USA,12.61
W,100M Hurdles Women,Beijing,2008,G,Dawn HARPER,USA,12.54
W,100M Hurdles Women,Beijing,2008,S,Sally PEARSON,AUS,12.64
W,100M Hurdles Women,Beijing,2008,B,Priscilla LOPES-SCHLIEP,CAN,12.64
W,100M Hurdles Women,Sydney,2000,G,Olga SHISHIGINA,KAZ,12.65
W,100M Hurdles Women,Sydney,2000,S,Gloria ALOZIE,NGR,12.68
W,100M Hurdles Women,Sydney,2000,B,Melissa MORRISON,USA,12.76
W,100M Hurdles Women,Barcelona,1992,G,Voula PATOULIDOU,GRE,12.64
W,100M Hurdles Women,Barcelona,1992,S,LaVonna MARTIN,USA,12.69
W,100M Hurdles Women,Barcelona,1992,B,Yordanka DONKOVA,BUL,12.7
W,100M Hurdles Women,Los Angeles,1984,G,Benita FITZGERALD-BROWN,USA,12.84
W,100M Hurdles Women,Los Angeles,1984,S,Shirley STRONG,GBR,12.88
W,100M Hurdles Women,Los Angeles,1984,B,Mich̬le CHARDONNET,FRA,13.06
W,100M Hurdles Women,Los Angeles,1984,B,Kim TURNER,USA,13.06
W,100M Hurdles Women,Montreal,1976,G,Johanna SCHALLER-KLIER,GDR,12.77
W,100M Hurdles Women,Montreal,1976,S,Tatiana ANISIMOVA,URS,12.78
W,100M Hurdles Women,Montreal,1976,B,Natalya LEBEDEVA,URS,12.8
W,100M Hurdles Women,London,2012,G,Sally PEARSON,AUS,12.35
W,100M Hurdles Women,London,2012,S,Dawn HARPER,USA,12.37
W,100M Hurdles Women,London,2012,B,Kellie WELLS,USA,12.48
W,100M Hurdles Women,Athens,2004,G,Joanna HAYES,USA,12.37
W,100M Hurdles Women,Athens,2004,S,Olena KRASOVSKA,UKR,12.45
W,100M Hurdles Women,Athens,2004,B,Melissa MORRISON,USA,12.56
W,100M Hurdles Women,Atlanta,1996,G,Ludmila ENGQUIST,SWE,12.58
W,100M Hurdles Women,Atlanta,1996,S,Brigita BUKOVEC,SLO,12.59
W,100M Hurdles Women,Atlanta,1996,B,Patricia GIRARD,FRA,12.65
W,100M Hurdles Women,Moscow,1980,G,Vera KOMISOVA,URS,12.56
W,100M Hurdles Women,Moscow,1980,S,Johanna SCHALLER-KLIER,GDR,12.63
W,100M Hurdles Women,Moscow,1980,B,Lucyna LANGER,POL,12.65
W,100M Hurdles Women,Munich,1972,G,Annelie EHRHARDT,GDR,12.59
W,100M Hurdles Women,Munich,1972,S,Valeria BUFANU,ROU,12.84
W,100M Hurdles Women,Munich,1972,B,Karin RICHERT-BALZER,GDR,12.9
W,100M Women,Rio,2016,G,Elaine THOMPSON,JAM,10.71
W,100M Women,Rio,2016,S,Tori BOWIE,USA,10.83
W,100M Women,Rio,2016,B,Shelly-Ann FRASER-PRYCE,JAM,10.86
W,100M Women,Beijing,2008,G,Shelly-Ann FRASER-PRYCE,JAM,10.78
W,100M Women,Beijing,2008,S,Sherone SIMPSON,JAM,10.98
W,100M Women,Beijing,2008,S,Kerron STEWART,JAM,10.98
W,100M Women,Sydney,2000,S,Ekaterini THANOU,GRE,11.12
W,100M Women,Sydney,2000,S,Tanya LAWRENCE,JAM,11.18
W,100M Women,Sydney,2000,B,Merlene OTTEY,JAM,11.19
W,100M Women,Barcelona,1992,G,Gail DEVERS,USA,10.82
W,100M Women,Barcelona,1992,S,Juliet CUTHBERT,JAM,10.83
W,100M Women,Barcelona,1992,B,Irina PRIVALOVA,EUN,10.84
W,100M Women,Los Angeles,1984,G,Evelyn ASHFORD,USA,10.97
